,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,date,year,t1,t2,score,title,studio,domestic_gross_y,foreign_gross,world_gross,dg_diff
156,48,27-Oct-17,Thank You for Your Service,20000000,9479390,9985316,10/27/17,2017,Thank You for Your Service,Thank You for Your Service (2017),0.212121212,Thank You for Your Service (2017),Uni.,9500000,,,-20610
67,17,25-Dec-16,Live by Night,65000000,10378555,21774432,12/25/16,2016,Live by Night,Live By Night,0.076923077,Live By Night,WB,10400000,12300000,22700000,-21445
28,79,3-Aug-12,Total Recall,125000000,58877969,211856088,8/3/12,2012,Total Recall,Total Recall (2012),0.368421053,Total Recall (2012),Sony,58900000,139600000,198500000,-22031
45,77,21-Oct-11,The Three Musketeers,90000000,20377913,139877913,10/21/11,2011,The Three Musketeers,The Three Musketeers (2011),0.259259259,The Three Musketeers (2011),Sum.,20400000,111900000,132300000,-22087
73,75,5-Feb-10,From Paris With Love,52000000,24077427,53139168,2/5/10,2010,From Paris With Love,From Paris with Love,0.05,From Paris with Love,LGF,24100000,28700000,52800000,-22573
116,34,2-Jul-14,Deliver Us from Evil,30000000,30577122,87956618,7/2/14,2014,Deliver Us from Evil,Deliver Us From Evil,0.05,Deliver Us From Evil,SGem,30600000,57400000,88000000,-22878
135,51,5-Aug-15,Shaun the Sheep,25000000,19375982,101925161,8/5/15,2015,Shaun the Sheep,Shaun the Sheep Movie,0.285714286,Shaun the Sheep Movie,LGF,19400000,86800000,106200000,-24018
130,33,26-Apr-13,Pain & Gain,26000000,49875291,81275291,4/26/13,2013,Pain & Gain,Pain and Gain,0.230769231,Pain and Gain,Par.,49900000,36300000,86200000,-24709
99,49,30-Apr-10,A Nightmare on Elm Street,35000000,63075011,117729621,4/30/10,2010,A Nightmare on Elm Street,A Nightmare on Elm Street (2010),0.21875,A Nightmare on Elm Street (2010),WB (NL),63100000,52600000,115700000,-24989
61,24,24-Sep-10,Wall Street 2: Money Never Sleeps,70000000,52474616,137431619,9/24/10,2010,Wall Street 2: Money Never Sleeps,Wall Street: Money Never Sleeps,0.060606061,Wall Street: Money Never Sleeps,Fox,52500000,82300000,134800000,-25384
18,50,23-Mar-18,Pacific Rim: Uprising,155000000,59874525,290930148,3/23/18,2018,Pacific Rim: Uprising,Pacific Rim Uprising,0.047619048,Pacific Rim Uprising,Uni.,59900000,231100000,291000000,-25475
42,44,14-Dec-18,Spider-Man: Into The Spider-Verse 3D,90000000,190173195,375381768,12/14/18,2018,Spider-Man: Into The Spider-Verse 3D,Spider-Man: Into The Spider-Verse,0.083333333,Spider-Man: Into The Spider-Verse,Sony,190200000,185300000,375500000,-26805
201,85,1-Apr-16,Godâs Not Dead 2,5000000,20773069,23551286,4/1/16,2016,Godâs Not Dead 2,God's Not Dead 2,0.166666667,God's Not Dead 2,PFR,20800000,3700000,24500000,-26931
115,32,8-Feb-13,Side Effects,30000000,32172757,66742138,2/8/13,2013,Side Effects,Side Effects (2013),0.368421053,Side Effects (2013),ORF,32200000,31200000,63400000,-27243
174,43,6-Jun-14,The Fault in Our Stars,12000000,124872350,307166834,6/6/14,2014,The Fault in Our Stars,The Fault in our Stars,0.045454545,The Fault in our Stars,Fox,124900000,182300000,307200000,-27650
88,58,25-Dec-18,Holmes & Watson,42000000,30568743,41926605,12/25/18,2018,Holmes & Watson,Holmes and Watson,0.176470588,Holmes and Watson,Sony,30600000,9900000,40500000,-31257
111,65,18-Aug-17,The Hitmanâs Bodyguard,30000000,75468583,172778667,8/18/17,2017,The Hitmanâs Bodyguard,The Hitman's Bodyguard,0.125,The Hitman's Bodyguard,LG/S,75500000,101100000,176600000,-31417
41,17,12-Feb-10,Percy Jackson & the Olympians: The Lightning Thief,95000000,88768303,223050874,2/12/10,2010,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & The Olympians: The Lightning Thief,0.02,Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000,137700000,226500000,-31697
176,4,21-Apr-17,Unforgettable,12000000,11368012,16221211,4/21/17,2017,Unforgettable,Unforgettable (2017),0.35,Unforgettable (2017),WB,11400000,6400000,17800000,-31988
30,94,24-Mar-17,Power Rangers,120000000,85364450,142531552,3/24/17,2017,Power Rangers,Power Rangers (2017),0.35,Power Rangers (2017),LGF,85400000,57000000,142400000,-35550
183,43,18-Oct-13,All is Lost,8500000,6263670,10386814,10/18/13,2013,All is Lost,All Is Lost,0.090909091,All Is Lost,RAtt.,6300000,7400000,13700000,-36330
37,40,31-Mar-17,Ghost in the Shell,110000000,40563557,167910690,3/31/17,2017,Ghost in the Shell,Ghost in the Shell (2017),0.28,Ghost in the Shell (2017),Par.,40600000,129199999,169799999,-36443
7,58,17-Dec-10,Tron: Legacy,200000000,172062763,400062763,12/17/10,2010,Tron: Legacy,Tron Legacy,0.083333333,Tron Legacy,BV,172100000,228000000,400100000,-37237
51,28,19-Jul-13,RED 2,84000000,53262560,141507355,7/19/13,2013,RED 2,Red 2,0.4,Red 2,LG/S,53300000,94800000,148100000,-37440
182,90,12-Aug-11,Glee: The 3D Concert Movie,9000000,11862398,17462398,8/12/11,2011,Glee: The 3D Concert Movie,Glee The 3D Concert Movie,0.038461538,Glee The 3D Concert Movie,Fox,11900000,6800000,18700000,-37602
62,46,9-May-14,Legends of Oz: Dorothyâs Return,70000000,8462347,20107933,5/9/14,2014,Legends of Oz: Dorothyâs Return,Legends of Oz: Dorothy's Return,0.090909091,Legends of Oz: Dorothy's Return,CE,8500000,10200000,18700000,-37653
1,6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220,12/18/15,2015,Star Wars Ep. VII: The Force Awakens,Star Wars: The Force Awakens,0.222222222,Star Wars: The Force Awakens,BV,936700000,1131.6,936701131.6,-37775
8,63,28-May-10,Prince of Persia: Sands of Time,200000000,90759676,336359676,5/28/10,2010,Prince of Persia: Sands of Time,Prince of Persia: The Sands of Time,0.114285714,Prince of Persia: The Sands of Time,BV,90800000,245600000,336400000,-40324
12,92,27-Jul-18,Mission: ImpossibleâFallout,178000000,220159104,787456552,7/27/18,2018,Mission: ImpossibleâFallout,Mission: Impossible - Fallout,0.103448276,Mission: Impossible - Fallout,Par.,220200000,571000000,791200000,-40896
66,16,22-Aug-14,Sin City: A Dame to Kill For,65000000,13757804,40650842,8/22/14,2014,Sin City: A Dame to Kill For,Frank Miller's Sin City: A Dame to Kill For,0.348837209,Frank Miller's Sin City: A Dame to Kill For,W/Dim.,13800000,25600000,39400000,-42196
76,24,18-Jul-14,Planes: Fire and Rescue,50000000,59157732,156399644,7/18/14,2014,Planes: Fire and Rescue,Planes: Fire & Rescue,0.130434783,Planes: Fire & Rescue,BV,59200000,92200000,151400000,-42268
74,88,25-Dec-15,Daddyâs Home,50000000,150357137,242757137,12/25/15,2015,Daddyâs Home,Daddy's Home,0.214285714,Daddy's Home,Par.,150400000,92400000,242800000,-42863
223,90,21-Mar-14,Godâs Not Dead,1150000,60755732,63777092,3/21/14,2014,Godâs Not Dead,God's Not Dead,0.1875,God's Not Dead,Free,60800000,3900000,64700000,-44268
128,19,23-Nov-16,Rules Donât Apply,26700000,3652206,3871448,11/23/16,2016,Rules Donât Apply,Rules Don't Apply,0.157894737,Rules Don't Apply,Fox,3700000,233000,3933000,-47794
85,85,14-Feb-13,Beautiful Creatures,50000000,19452138,60282876,2/14/13,2013,Beautiful Creatures,Beautiful Creatures (2013),0.269230769,Beautiful Creatures (2013),WB,19500000,40600000,60100000,-47862
231,48,31-Aug-12,"For a Good Time, Call",850000,1251749,1386088,8/31/12,2012,"For a Good Time, Call","For a Good Time, Call...",0.125,"For a Good Time, Call...",Focus,1300000,,,-48251
79,35,17-Oct-14,The Book of Life,50000000,50151543,97651543,10/17/14,2014,The Book of Life,The Book of Life (2014),0.304347826,The Book of Life (2014),Fox,50200000,49600000,99800000,-48457
40,13,13-Mar-15,Cinderella,95000000,201151353,534551353,3/13/15,2015,Cinderella,Cinderella (2015),0.411764706,Cinderella (2015),BV,201200000,342400000,543600000,-48647
75,8,29-Jul-11,"Crazy, Stupid, Love",50000000,84351197,147142328,7/29/11,2011,"Crazy, Stupid, Love","Crazy, Stupid, Love.",0.05,"Crazy, Stupid, Love.",WB,84400000,58500000,142900000,-48803
21,4,15-Jul-16,Ghostbusters,144000000,128350574,229008658,7/15/16,2016,Ghostbusters,Ghostbusters (2016),0.368421053,Ghostbusters (2016),Sony,128400000,100800000,229200000,-49426
52,41,10-Feb-17,The Lego Batman Movie,80000000,175750384,310660018,2/10/17,2017,The Lego Batman Movie,The LEGO Batman Movie,0.142857143,The LEGO Batman Movie,WB,175800000,136200000,312000000,-49616
180,81,3-May-13,The Iceman,10000000,1930282,3623609,5/3/13,2013,The Iceman,The Iceman (2013),0.411764706,The Iceman (2013),MNE,2000000,,,-69718
200,84,29-Aug-14,"As Above, So Below",5000000,21222315,41824066,8/29/14,2014,"As Above, So Below",As Above/So Below,0.111111111,As Above/So Below,Uni.,21300000,20600000,41900000,-77685
3,27,4-May-12,The Avengers,225000000,623279547,1517935897,5/4/12,2012,The Avengers,Marvel's The Avengers,0.428571429,Marvel's The Avengers,BV,623400000,895500000,1518900000,-120453
6,54,8-Mar-13,Oz the Great and Powerful,200000000,234770996,490359051,3/8/13,2013,Oz the Great and Powerful,Oz The Great and Powerful,0.04,Oz The Great and Powerful,BV,234900000,258399999,493299999,-129004
117,35,1-Aug-14,Get on Up,30000000,30569935,33339868,8/1/14,2014,Get on Up,Get On Up,0.111111111,Get On Up,Uni.,30700000,2700000,33400000,-130065
154,7,31-Mar-17,The Zookeeperâs Wife,20000000,17445186,26308749,3/31/17,2017,The Zookeeperâs Wife,The Zookeeper's Wife,0.136363636,The Zookeeper's Wife,Focus,17600000,8600000,26200000,-154814
103,3,16-Sep-16,Bridget Jonesâs Baby,35000000,24139805,205822688,9/16/16,2016,Bridget Jonesâs Baby,Bridget Jones's Baby,0.136363636,Bridget Jones's Baby,Uni.,24300000,187700000,212000000,-160195
198,79,9-Mar-18,The Strangers: Prey at Night,5000000,24431472,29960051,3/9/18,2018,The Strangers: Prey at Night,Strangers: Prey at Night,0.142857143,Strangers: Prey at Night,Aviron,24600000,,,-168528
132,86,27-Jan-17,A Dogâs Purpose,25000000,64321890,203671625,1/27/17,2017,A Dogâs Purpose,A Dog's Purpose,0.176470588,A Dog's Purpose,Uni.,64500000,140500000,205000000,-178110
181,24,7-Nov-14,Elsa & Fred,10000000,67657,197901,11/7/14,2014,Elsa & Fred,Elsa & Fred (2014),0.388888889,Elsa & Fred (2014),MNE,286000,,,-218343
91,48,30-May-14,A Million Ways to Die in The West,40000000,42720965,86778557,5/30/14,2014,A Million Ways to Die in The West,A Million Ways to Die in the West,0.03030303,A Million Ways to Die in the West,Uni.,43100000,44100000,87200000,-379035
33,10,22-Apr-16,The Huntsman: Winterâs War,115000000,48003015,165149302,4/22/16,2016,The Huntsman: Winterâs War,The Huntsman: Winter's War,0.107142857,The Huntsman: Winter's War,Uni.,48400000,116600000,165000000,-396985
