,id_x,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,date_x,year,t1,t2,score,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,release_date_y,title,vote_average,vote_count,date_y
17,61,"Jul 15, 2011",Harry Potter and the Deathly Hallows: Part II,"$125,000,000","$381,193,157","$1,341,693,157",2011-07-15,2011,Harry Potter and the Deathly Hallows: Part II,Harry Potter and the Deathly Hallows: Part 2,0.044444444444444446,2471,"[10751, 14, 12]",12445,en,Harry Potter and the Deathly Hallows: Part 2,29.206,2011-07-15,Harry Potter and the Deathly Hallows: Part 2,8.1,11567,2011-07-15
18,64,"Nov 19, 2010",Harry Potter and the Deathly Hallows: Part I,"$125,000,000","$296,131,568","$960,431,568",2010-11-19,2010,Harry Potter and the Deathly Hallows: Part I,Harry Potter and the Deathly Hallows: Part 1,0.022727272727272728,0,"[12, 14, 10751]",12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,2010-11-19
19,80,"Dec 21, 2016",Assassinâs Creed,"$125,000,000","$54,647,948","$240,759,682",2016-12-21,2016,Assassinâs Creed,Assassin's Creed,0.16666666666666666,17471,"[28, 12, 878]",121856,en,Assassin's Creed,14.050999999999998,2016-12-21,Assassin's Creed,5.4,5010,2016-12-21
20,80,"Dec 21, 2016",Assassinâs Creed,"$125,000,000","$54,647,948","$240,759,682",2016-12-21,2016,Assassinâs Creed,Assassin's Creed,0.16666666666666666,20727,"[28, 12, 878]",121856,en,Assassin's Creed,14.050999999999998,2016-12-21,Assassin's Creed,5.4,5010,2016-12-21
21,1,"Dec 17, 2010",How Do You Know?,"$120,000,000","$30,212,620","$49,628,177",2010-12-17,2010,How Do You Know?,How Do You Know,0.0625,323,"[35, 18, 10749]",42888,en,How Do You Know,6.752999999999999,2010-12-17,How Do You Know,5.1,453,2010-12-17
22,10,"Apr 22, 2016",The Huntsman: Winterâs War,"$115,000,000","$48,003,015","$165,149,302",2016-04-22,2016,The Huntsman: Winterâs War,The Huntsman: Winter's War,0.10714285714285714,17434,"[28, 12, 18]",290595,en,The Huntsman: Winter's War,16.660999999999998,2016-04-22,The Huntsman: Winter's War,6.2,2966,2016-04-22
23,30,"Sep 30, 2016",Miss Peregrineâs Home for Peculiar Children,"$110,000,000","$87,242,834","$295,986,876",2016-09-30,2016,Miss Peregrineâs Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,0.06666666666666667,17413,"[18, 14, 12, 10751]",283366,en,Miss Peregrine's Home for Peculiar Children,19.132,2016-09-30,Miss Peregrine's Home for Peculiar Children,6.7,6211,2016-09-30
24,44,"Dec 14, 2018",Spider-Man: Into The Spider-Verse 3D,"$90,000,000","$190,173,195","$375,381,768",2018-12-14,2018,Spider-Man: Into The Spider-Verse 3D,Spider-Man: Into the Spider-Verse,0.1111111111111111,23812,"[28, 12, 16, 878, 35]",324857,en,Spider-Man: Into the Spider-Verse,60.534,2018-12-14,Spider-Man: Into the Spider-Verse,8.4,4048,2018-12-14
25,22,"Aug 13, 2010",Scott Pilgrim vs. The World,"$85,000,000","$31,611,316","$48,056,764",2010-08-13,2010,Scott Pilgrim vs. The World,Scott Pilgrim vs. the World,0.037037037037037035,41,"[28, 35, 10749]",22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,2010-08-13
26,58,"Feb 11, 2011",Just Go With It,"$80,000,000","$103,028,109","$214,974,953",2011-02-11,2011,Just Go With It,Just Go with It,0.06666666666666667,2478,"[35, 10749]",50546,en,Just Go with It,19.565,2011-02-11,Just Go with It,6.4,2958,2011-02-11
27,55,"Aug 14, 2015",The Man From U.N.C.L.E.,"$75,000,000","$45,445,109","$104,949,584",2015-08-14,2015,The Man From U.N.C.L.E.,The Man from U.N.C.L.E.,0.043478260869565216,14207,"[35, 28, 12]",203801,en,The Man from U.N.C.L.E.,18.956,2015-08-14,The Man from U.N.C.L.E.,7.1,3525,2015-08-14
28,5,"Nov 10, 2017",Daddyâs Home 2,"$70,000,000","$104,029,443","$175,807,183",2017-11-10,2017,Daddyâs Home 2,Daddy's Home 2,0.1875,20751,[35],419680,en,Daddy's Home 2,12.525,2017-11-10,Daddy's Home 2,6.0,1267,2017-11-10
29,5,"Nov 10, 2017",Daddyâs Home 2,"$70,000,000","$104,029,443","$175,807,183",2017-11-10,2017,Daddyâs Home 2,Daddy's Home 2,0.1875,24052,[35],419680,en,Daddy's Home 2,12.525,2017-11-10,Daddy's Home 2,6.0,1267,2017-11-10
30,24,"Sep 24, 2010",Wall Street 2: Money Never Sleeps,"$70,000,000","$52,474,616","$137,431,619",2010-09-24,2010,Wall Street 2: Money Never Sleeps,Wall Street: Money Never Sleeps,0.06060606060606061,128,"[18, 80]",33909,en,Wall Street: Money Never Sleeps,10.177,2010-09-20,Wall Street: Money Never Sleeps,6.0,797,2010-09-20
31,46,"May 9, 2014",Legends of Oz: Dorothyâs Return,"$70,000,000","$8,462,347","$20,107,933",2014-05-09,2014,Legends of Oz: Dorothyâs Return,Legends of Oz: Dorothy's Return,0.09090909090909091,11488,"[16, 10402, 10751]",59981,en,Legends of Oz: Dorothy's Return,6.349,2014-05-09,Legends of Oz: Dorothy's Return,5.7,67,2014-05-09
32,78,"Dec 25, 2012",Les Miserables,"$65,000,000","$148,809,770","$442,169,052",2012-12-25,2012,Les Miserables,Les Misérables,0.07142857142857142,5295,"[36, 18]",82695,en,Les Misérables,10.458,2012-12-25,Les Misérables,7.4,3283,2012-12-25
33,83,"Jun 5, 2015",Spy!,"$65,000,000","$110,825,712","$232,585,748",2015-06-05,2015,Spy!,Spy,0.25,14268,"[28, 35, 80]",238713,en,Spy,12.54,2015-06-05,Spy,6.8,3917,2015-06-05
34,91,"Aug 12, 2016",Peteâs Dragon,"$65,000,000","$76,233,151","$137,768,975",2016-08-12,2016,Peteâs Dragon,Pete's Dragon,0.2,17450,"[12, 10751, 14]",294272,en,Pete's Dragon,15.734000000000002,2016-08-12,Pete's Dragon,6.3,1322,2016-08-12
35,43,"Feb 14, 2014",Winterâs Tale,"$60,000,000","$12,600,231","$29,575,033",2014-02-14,2014,Winterâs Tale,Winter's Tale,0.2,11514,"[18, 14, 9648, 10749]",137321,en,Winter's Tale,6.224,2014-02-13,Winter's Tale,6.2,796,2014-02-13
36,9,"Jun 17, 2011",Mr. Poppers's Penguins,"$55,000,000","$68,224,452","$189,624,452",2011-06-17,2011,Mr. Poppers's Penguins,Mr. Popper's Penguins,0.045454545454545456,2719,"[35, 10751]",58224,en,Mr. Popper's Penguins,8.292,2011-06-17,Mr. Popper's Penguins,5.8,1554,2011-06-17
37,75,"Feb 5, 2010",From Paris With Love,"$52,000,000","$24,077,427","$53,139,168",2010-02-05,2010,From Paris With Love,From Paris with Love,0.05,65,"[28, 80, 53]",26389,en,From Paris with Love,12.862,2010-02-05,From Paris with Love,6.2,1075,2010-02-05
38,88,"Dec 25, 2015",Daddyâs Home,"$50,000,000","$150,357,137","$242,757,137",2015-12-25,2015,Daddyâs Home,Daddy's Home,0.21428571428571427,14237,[35],274167,en,Daddy's Home,14.847000000000001,2015-12-25,Daddy's Home,6.1,1688,2015-12-25
39,8,"Jul 29, 2011","Crazy, Stupid, Love","$50,000,000","$84,351,197","$147,142,328",2011-07-29,2011,"Crazy, Stupid, Love","Crazy, Stupid, Love.",0.05,2538,"[35, 18, 10749]",50646,en,"Crazy, Stupid, Love.",13.277000000000001,2011-07-29,"Crazy, Stupid, Love.",7.2,4585,2011-07-29
40,24,"Jul 18, 2014",Planes: Fire and Rescue,"$50,000,000","$59,157,732","$156,399,644",2014-07-18,2014,Planes: Fire and Rescue,Planes: Fire & Rescue,0.13043478260869565,11213,"[16, 35, 12, 10751]",218836,en,Planes: Fire & Rescue,9.231,2014-07-18,Planes: Fire & Rescue,6.0,420,2014-07-18
41,28,"Feb 18, 2011",I am Number Four,"$50,000,000","$55,100,437","$146,195,159",2011-02-18,2011,I am Number Four,I Am Number Four,0.0625,2578,"[28, 53, 878, 12]",46529,en,I Am Number Four,11.555,2011-02-18,I Am Number Four,6.0,2805,2011-02-18
42,51,"Dec 31, 2010",Arthur and the War of Two Worlds,"$45,500,000","$347,136","$36,180,824",2010-12-31,2010,Arthur and the War of Two Worlds,Arthur 3: The War of the Two Worlds,0.22857142857142856,67,"[16, 12, 14, 10751]",42949,en,Arthur 3: la guerre des deux mondes,12.679,2010-08-22,Arthur 3: The War of the Two Worlds,5.6,865,2010-08-22
43,40,"Nov 9, 2018",The Girl in the Spiderâs Web,"$43,000,000","$14,828,555","$34,983,342",2018-11-09,2018,The Girl in the Spiderâs Web,The Girl in the Spider's Web,0.1,23852,"[28, 80, 53]",446807,en,The Girl in the Spider's Web,26.425,2018-11-09,The Girl in the Spider's Web,6.0,501,2018-11-09
44,94,"Feb 10, 2017",John Wick: Chapter Two,"$40,000,000","$92,029,184","$171,350,009",2017-02-10,2017,John Wick: Chapter Two,John Wick: Chapter 2,0.13636363636363635,20619,"[53, 28, 80]",324552,en,John Wick: Chapter 2,45.253,2017-02-10,John Wick: Chapter 2,7.0,5863,2017-02-10
45,16,"Sep 21, 2018",The House with a Clock in its Walls,"$40,000,000","$68,549,695","$126,331,750",2018-09-21,2018,The House with a Clock in its Walls,The House with a Clock in Its Walls,0.02857142857142857,23887,"[14, 10751]",463821,en,The House with a Clock in Its Walls,21.805,2018-09-21,The House with a Clock in Its Walls,6.2,933,2018-09-21
46,28,"Feb 15, 2013",Escape From Planet Earth,"$40,000,000","$57,012,977","$74,156,610",2013-02-15,2013,Escape From Planet Earth,Escape from Planet Earth,0.041666666666666664,8052,"[16, 35, 12, 10751, 878]",68179,en,Escape from Planet Earth,9.227,2013-02-14,Escape from Planet Earth,5.8,459,2013-02-14
47,48,"May 30, 2014",A Million Ways to Die in The West,"$40,000,000","$42,720,965","$86,778,557",2014-05-30,2014,A Million Ways to Die in The West,A Million Ways to Die in the West,0.030303030303030304,11154,"[35, 37]",188161,en,A Million Ways to Die in the West,10.815999999999999,2014-05-30,A Million Ways to Die in the West,5.8,2219,2014-05-30
48,70,"Dec 25, 2011",Extremely Loud and Incredibly Close,"$40,000,000","$31,847,881","$55,247,881",2011-12-25,2011,Extremely Loud and Incredibly Close,Extremely Loud & Incredibly Close,0.08571428571428572,2641,[18],64685,en,Extremely Loud & Incredibly Close,9.828,2011-12-24,Extremely Loud & Incredibly Close,7.0,1231,2011-12-24
49,21,"Jul 10, 2015",Baahubali: The Beginning,"$40,000,000","$6,738,000","$26,736,665",2015-07-10,2015,Baahubali: The Beginning,Bahubali: The Beginning,0.041666666666666664,14356,"[28, 18]",256040,te,Bahubali: The Beginning,9.254,2015-07-10,Bahubali: The Beginning,7.3,228,2015-07-10
50,30,"Nov 11, 2016",Billy Lynnâs Long Halftime Walk,"$40,000,000","$1,738,477","$30,230,402",2016-11-11,2016,Billy Lynnâs Long Halftime Walk,Billy Lynn's Long Halftime Walk,0.09090909090909091,17618,"[18, 10752]",293767,en,Billy Lynn's Long Halftime Walk,9.318,2016-11-11,Billy Lynn's Long Halftime Walk,5.9,309,2016-11-11
