,title_id,festival1,D3,IMAX,title_idtitle_id,title_x,region_x,language_x,types_x,attributes_x,title_y,studio,domestic_gross,foreign_gross,year,world_gross,tconst_x,primary_title,original_title,start_year,runtime_minutes,genres,Mystery,Drama,Animation,Game-Show,News,Biography,Short,Action,Family,Sport,Crime,War,Horror,Music,Reality-TV,Fantasy,Documentary,Comedy,Western,Thriller,Talk-Show,Musical,Romance,Sci-Fi,Adult,Adventure,History,archive_sound,writer,producer,actress,director,composer,cinematographer,self,editor,production_designer,actor,archive_footage,archive_sound_age,writer_age,producer_age,actress_age,director_age,composer_age,cinematographer_age,self_age,editor_age,production_designer_age,actor_age,archive_footage_age,actor_ordering,actress_ordering,actress_ratio,tconst_y,averagerating,numvotes
2769,tt4399594,0,0,0,tt4399594,4,4,0,2,1,Fitoor,UTV,529000,,2016,,tt4399594,Fitoor,Fitoor,2016,131,"Drama,Romance",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,2,1,2,1,2,0,0,0,0,2,0,,1812,,1977,,1979,,,,,1985,,2.5,2.5,0.5,tt4399594,5.4,3883
2770,tt4400174,0,0,0,tt4400174,12,13,1,3,0,As I Open My Eyes,KL,31000,,2016,,tt4400174,As I Open My Eyes,À peine j'ouvre les yeux,2015,102,Drama,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2,2,1,1,1,0,0,0,2,0,,,,1995,,,,,,,,,3.5,1.5,0.5,tt4400174,6.8,1081
2771,tt4410000,0,1,0,tt4410000,24,25,5,3,2,Luis & the Aliens,VPD,170000,,2018,,tt4410000,Luis and the Aliens,Luis & the Aliens,2018,86,"Adventure,Animation,Comedy",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,3,0,0,3,0,0,0,0,0,4,0,,1948,,,1962,,,,,,,,2.5,,0,tt4410000,6,1355
2772,tt4411504,1,0,0,tt4411504,12,21,3,3,0,El Clan,FIP,201000,20200000,2016,20401000,tt4411504,The Clan,El Clan,2015,108,"Biography,Crime,Drama",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,3,1,1,0,0,0,0,0,3,0,,,1952.5,,1971,,,,,,1972.5,,2,4,0.25,tt4411504,7,10771
2773,tt4411596,0,0,0,tt4411596,15,14,1,4,0,My Cousin Rachel,FoxS,2700000,6500000,2017,9200000,tt4411596,My Cousin Rachel,My Cousin Rachel,2017,106,"Drama,Mystery,Romance",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,1,1,2,1,1,1,0,1,0,2,0,,1907,1956,1979,1956,,,,,,1973.5,,3,2,0.5,tt4411596,6,15473
2774,tt4412454,0,0,0,tt4412454,2,1,0,2,0,Anna,VE,4300,,2014,,tt4412454,Lena,Lena,2016,,Drama,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,2,1,0.5,,,
2775,tt4420704,1,0,0,tt4420704,16,16,3,4,1,Kedi,Osci.,2800000,,2017,,tt4420704,Kedi,Kedi,2016,79,Documentary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,1,1,4,1,0,0,0,,,,,,,,,,,,,,,,tt4420704,7.7,10925
2776,tt4426656,0,0,0,tt4426656,7,8,2,2,1,Neither Heaven Nor Earth,FM,12800,,2016,,tt4426656,Neither Heaven Nor Earth,Ni le ciel ni la terre,2015,100,"Drama,Fantasy,Mystery",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,0,1,2,1,0,0,0,4,0,,,,,,1974,,,,,1981.75,,2.5,,0,tt4426656,6.3,820
2777,tt4428788,0,0,0,tt4428788,8,15,4,2,0,Marguerite,Cohen,497000,,2016,,tt4428788,Marguerite,Marguerite,2015,129,"Comedy,Drama,Music",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2,2,1,1,1,0,0,0,2,0,,,1969,1973.5,1970,,,,,,1956,,2.5,2.5,0.5,tt4428788,7,4473
2778,tt4428814,0,0,0,tt4428814,22,23,4,3,2,The Measure of a Man,KL,112000,,2016,,tt4428814,The Measure of a Man,La loi du marché,2015,91,Drama,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2,1,1,0,1,0,1,0,3,0,,,,,1966,,,,,,1959,,2.666666667,2,0.25,tt4428814,6.8,5048
