,t1,t2,score
341115,Under the Skin,Under the Skin (2014),0.3333333333333333
1494443,The Thing,The Phone,0.3333333333333333
1227195,Trade of Innocents,The Innocents,0.3333333333333333
1818576,The Kick,The Shack,0.3333333333333333
679542,Running Forever,Until Forever,0.3333333333333333
1520814,The Mummy,The Mercy,0.3333333333333333
710682,Absentia,Argentina,0.3333333333333333
1877196,Stranded,Unbranded,0.3333333333333333
1382005,Dying of the Light,Tales of the Night,0.3333333333333333
372348,Lost River,London River,0.3333333333333333
1864470,The Crow,The Arbor,0.3333333333333333
1478277,Walter,Master,0.3333333333333333
1493637,The Thing,The Tribe,0.3333333333333333
1630066,Red 11,Red 2,0.3333333333333333
1865119,The Crow,The Carer,0.3333333333333333
1288485,The Lobster,The Imposter,0.3333333333333333
957200,Geroy,Gueros,0.3333333333333333
172386,The Fits,The Fairy,0.3333333333333333
432540,Butterfly,Butter,0.3333333333333333
964308,The Avengers,The Wonders,0.3333333333333333
964429,The Avengers,The Fencer,0.3333333333333333
963792,The Avengers,The Ardennes,0.3333333333333333
838795,Peeples,Sleepless,0.3333333333333333
1000175,The Dead Undead,The Dead Lands,0.3333333333333333
794648,A Star is Born,A Star is Born (2018),0.3333333333333333
1356524,Wild Card,Wild City,0.3333333333333333
754607,Rust,Rustom,0.3333333333333333
107046,The Iceman,The Salesman,0.3333333333333333
1539629,Christopher Robin,Disney's Christopher Robin,0.34615384615384615
1537598,How to Fall in Love,How to be a Latin Lover,0.34782608695652173
459272,Sin City: A Dame to Kill For,Frank Miller's Sin City: A Dame to Kill For,0.3488372093023256
1776395,The Interview,The Interview (2014),0.35
1786094,Unforgettable,Unforgettable (2017),0.35
1833798,Power Rangers,Power Rangers (2017),0.35
425687,Why Did I Get Married Too?,Tyler Perry's Why Did I Get Married Too?,0.35
689697,Promised Land,Promised Land (2012),0.35
823983,Faith Connections,The Connection,0.35294117647058826
601786,Beyond the Lights,Beyond the Reach,0.35294117647058826
511008,The Lion of Judah,The Son of Joseph,0.35294117647058826
1245063,Redemption Road,Redemption (2013),0.35294117647058826
438281,Sparrows Dance,Shadow Dancer,0.35714285714285715
854469,The Predator,The Forecaster,0.35714285714285715
1289577,The Lobster,The Forecaster,0.35714285714285715
1496537,Into the Storm,Into the Abyss,0.35714285714285715
993398,Bang Bang Baby,Bang Bang,0.35714285714285715
117471,The Comedian,The Connection,0.35714285714285715
782545,The Loved Ones,The Love Punch,0.35714285714285715
1770131,Dr. Seussâ The Grinch,Dr. Seuss' The Grinch (2018),0.35714285714285715
1496350,Into the Storm,Into the White,0.35714285714285715
104556,Daddyâs Home,Daddy's Home 2,0.35714285714285715
1297849,The Hit List,The To-Do List,0.35714285714285715
1343810,Indie Game: The Movie,Burn the Stage: The Movie,0.36
109170,The Word,The Wonders,0.36363636363636365
272042,Phantom,Phantom Boy,0.36363636363636365
1310202,The Pet,The Priests,0.36363636363636365
1095327,The Prince,The Silence,0.36363636363636365
1231029,The Signal,The Silence,0.36363636363636365
582869,Captive,The Captive,0.36363636363636365
1395108,The Helpers,The Wonders,0.36363636363636365
1493540,The Thing,The Thieves,0.36363636363636365
1134725,The Promise,The Phone,0.36363636363636365
1395229,The Helpers,The Fencer,0.36363636363636365
756592,The Divide,The Midwife,0.36363636363636365
1163978,The Ridges,The Thieves,0.36363636363636365
1395291,The Helpers,The Players,0.36363636363636365
1193767,Sky Sharks,Ruby Sparks,0.36363636363636365
1133479,The Promise,The Choice,0.36363636363636365
1163950,The Ridges,The Oranges,0.36363636363636365
1164111,The Ridges,The Pirates,0.36363636363636365
167415,Breaking In,Breathe In,0.36363636363636365
515596,The Bronze,The Oranges,0.36363636363636365
1007571,The Lovers,The Players,0.36363636363636365
