,t1,t2,score
8828909,My Best Friend's Wedding,My Best Friend's Wedding (2016),0.225806452
5903575,The Jungle Book 2,The Jungle Book (2016),0.227272727
156418,In the Land of Women,In the Shadow of Women,0.227272727
6116506,The Strangers,The Oranges,0.230769231
9051868,Unforgettable,Unforgivable,0.230769231
869771,Pain & Gain,Pain and Gain,0.230769231
3136449,Life of Brian,Life of Crime,0.230769231
7790975,Back to the Future Part II,Back to the Future Day,0.230769231
2594471,Lost In Space,Love in Space,0.230769231
2367140,The Lion King,The Last King,0.230769231
5005779,A Simple Wish,A Simple Life,0.230769231
8111152,Monster House,Monster Hunt,0.230769231
6861294,The Good Girl,The Good Lie,0.230769231
2525334,The Reaping,The Remaining,0.230769231
2225425,Raiders of the Lost Ark,Raiders of the Lost Ark (IMAX),0.233333333
9135500,Deep Blue Sea,The Deep Blue Sea,0.235294118
1744436,Teefa in Trouble,Terkel in Trouble,0.235294118
9070754,War of the Worlds,War of the Arrows,0.235294118
655238,House of the Dead,Juan of the Dead,0.235294118
705282,Beyond the Lights,Beyond the Hills,0.235294118
7511654,Diary of the Dead,Juan of the Dead,0.235294118
2701264,The End of the Affair,The End of the Tour,0.238095238
7453959,Beauty and the Beast,The Boy and the Beast,0.238095238
3541139,The Forbidden Kingdom,The Forbidden Room,0.238095238
8438605,The Chronicles of Riddick,The Chronicles of Evil,0.24
3554400,Much Ado About Nothing,Much Ado About Nothing (2013),0.24137931
7652599,The Wiz,The Wife,0.25
7311067,The Wild,The Wife,0.25
9453655,The Mask,The Past,0.25
9453813,The Mask,The Monk,0.25
5993012,Good,Goon,0.25
6317511,Dick,Kick,0.25
7213815,Beyond the Mat,Beyond the Reach,0.25
6088870,Stranded,Branded,0.25
8087280,The Green Mile,The Green Prince,0.25
6869706,The Word,The Void,0.25
9120990,The Good Guy,The Good Lie,0.25
6233919,The Game,The Wave,0.25
6255861,The Crew,The Tree,0.25
6540517,Ten,Te3n,0.25
6438441,The Ten,The Tree,0.25
6371974,Krrish,Krrish 3,0.25
5994032,Good,Gold,0.25
8378046,The Book of Life,The Salt of Life,0.25
33605,The Family Stone,The Family Fang,0.25
5871243,The Interpreter,The Interrupters,0.25
4709821,The Fan,The Swan,0.25
4472601,The Rock,The Monk,0.25
4115096,The Guru,The Lure,0.25
3887948,A Walk to Remember,A Melody to Remember,0.25
3884978,Saving Private Ryan,Saving Private Perez,0.25
3792351,1941,1911,0.25
3753173,The Wash,The Way,0.25
3752979,The Wash,The Wave,0.25
3752863,The Wash,The Past,0.25
3701310,Assassins,13 Assassins,0.25
3114698,Army of the Dead,Juan of the Dead,0.25
2908490,Man of the Year,Juan of the Dead,0.25
4884954,The Kid,The Void,0.25
2414432,Spy!,Spy,0.25
2303058,The Veil,The Void,0.25
2089960,The Host,The Hunt,0.25
2088991,The Host,The Loft,0.25
2088163,The Host,The Past,0.25
2014352,The Muse,The Lure,0.25
1841143,The Mist,The Past,0.25
1498233,Bolt,Bol,0.25
1476661,Flipper,Flypaper,0.25
858934,The Conversation,The Connection,0.25
616783,The Pet,The Past,0.25
610330,Against the Wild,Against the Sun,0.25
558316,Fired Up,Fed Up,0.25
2381743,The Devil's Tomb,The Devil's Hand,0.25
4930062,The Wood,The Void,0.25
3282236,Moon,Goon,0.25
4844142,The Road,The Void,0.25
5523013,Child's Play,Child's Pose,0.25
5520881,The Wedding Date,The Wedding Plan,0.25
4937156,The Magnificent Seven,The Magnificent Seven (2016),0.25
5508895,The Gift,The Wife,0.25
5508607,The Gift,The Loft,0.25
5534924,The Core,The Lure,0.25
5353120,Mouse Hunt,Monster Hunt,0.25
5218407,The Way Way Back,The Way Back,0.25
5654001,The Man,The Monk,0.25
5654941,The Man,The Swan,0.25
3586719,The Three Musketeers,The Three Musketeers (2011),0.259259259
7105763,Back to the Future Part III,Back to the Future Day,0.259259259
7454176,Beauty and the Beast,Beauty and the Beast (2017),0.259259259
4553575,Mississippi Mermaid,Mississippi Grind,0.263157895
5846815,"Monsters, Inc.","Monsters, Inc. (3D)",0.263157895
373117,Aliens in the Attic,Toys in the Attic,0.263157895
1302344,The Blue Lagoon,The Blue Room,0.266666667
1242980,The Company,The Company Men,0.266666667
4697753,Godzilla 2000,Godzilla (2014),0.266666667
8325084,The Ice Pirates,The Pirates,0.266666667
4560620,Into the Storm,After the Storm,0.266666667
5890428,P.S. I Love You,"Rio, I Love You",0.266666667
2107565,The Beastmaster,The Grandmaster,0.266666667
5899368,Beautiful Creatures,Beautiful Creatures (2013),0.269230769
5691309,Conan the Barbarian,Conan the Barbarian (2011),0.269230769
3415473,Alice in Wonderland,Alice in Wonderland (2010),0.269230769
8632350,Clash of the Titans,Clash of the Titans (2010),0.269230769
441544,Star Wars Ep. VIII: The Last Jedi,Star Wars: The Last Jedi,0.272727273
3165743,42nd Street,Sing Street,0.272727273
3209400,The Hammer,The Charmer,0.272727273
7461927,The Lobster,The Robber,0.272727273
295827,Darkness,In Darkness,0.272727273
8655321,The Siege,The Silence,0.272727273
8689640,The Inbetweeners,The Inbetweeners Movie,0.272727273
2516326,The Matador,The Mayor,0.272727273
5600603,Roger & Me,Wagner & Me,0.272727273
2182267,Songcatcher,Foxcatcher,0.272727273
7889472,Pokemon 3: The Movie,Postman Pat: The Movie,0.272727273
2064758,The Dress,The Priests,0.272727273
5877235,The Pianist,The Past,0.272727273
1891895,Chasing Amy,Chasing Ice,0.272727273
1242057,The Company,The Commune,0.272727273
5915582,The Border,The Wonders,0.272727273
8407262,The Lovers,The Wonders,0.272727273
2834796,The Dirties,The Pirates,0.272727273
1993328,Open Secret,In Secret,0.272727273
7732099,Wonder Boys,Poster Boys,0.272727273
4940545,Wall Street,Main Street,0.272727273
7409774,Hit & Run,Hit and Run,0.272727273
6729613,Whale Rider,The Rider,0.272727273
5116556,The Cooler,The Concert,0.272727273
6827560,The Cave,The Captive,0.272727273
4927441,The Insider,The Rider,0.272727273
4078973,Oceanâs 8,Ocean's 8,0.272727273
4212150,Premonition,Demolition,0.272727273
4867283,Waiting for Guffman,"Waiting for ""Superman""",0.272727273
4377804,Mindhunters,Headhunters,0.272727273
8417671,The Oxford Murders,The Third Murder,0.277777778
6882446,Godâs Not Dead 2,God's Not Dead,0.277777778
132989,A Beautiful Mind,A Beautiful Planet,0.277777778
936737,American History X,American Pastoral,0.277777778
2323083,The Flower of Evil,The Flowers of War,0.277777778
6736115,Friends with Money,Friends with Kids,0.277777778
1440821,Ghost in the Shell,Ghost in the Shell (2017),0.28
1205715,"New York, New York","New York, New York (2016)",0.28
2807119,Death at a Funeral,Death at a Funeral (2010),0.28
2787718,In the Shadow of the Moon,In the Shadow of Women,0.28
1117142,The Net,The Nun,0.285714286
1117096,The Net,The Cut,0.285714286
4709033,The Fan,The Way,0.285714286
8613253,Into the Blue,Into the White,0.285714286
8572531,The Box,The Bay,0.285714286
4708598,The Fan,The Nun,0.285714286
6709144,Eyes Wide Shut,Eyes Wide Open,0.285714286
4709608,The Fan,The Day,0.285714286
3399960,Mad Max,Pad Man,0.285714286
6503887,G-Force,Force,0.285714286
488619,Under the Skin,Under the Tree,0.285714286
6437738,The Ten,The Nun,0.285714286
9149894,Krisha,Trishna,0.285714286
9183755,The Blind Side,The Bling Ring,0.285714286
375371,Maurice,Maudie,0.285714286
362056,The Boy,The Day,0.285714286
361481,The Boy,The Way,0.285714286
6342880,Held Up,Fed Up,0.285714286
123289,The Lucky Ones,The Quiet Ones,0.285714286
9418572,The Love Guru,The Love Punch,0.285714286
86884,The Dark Half,The Dark Horse,0.285714286
36983,Popeye,Pop Aye,0.285714286
4710427,The Fan,The Bay,0.285714286
616612,The Pet,The Cut,0.285714286
4656667,The Rainmaker,The Babymakers,0.285714286
8375787,Once Upon a Time in the West,Once Upon a Time in Anatolia,0.285714286
7382650,Monster,Master,0.285714286
3421697,Miracle,Miral,0.285714286
3456985,The Loved Ones,The Quiet Ones,0.285714286
7538497,Christmas Mail,Christmas Eve,0.285714286
2865048,50 to 1,5 to 7,0.285714286
7648083,Rock the House,In the House,0.285714286
7651793,The Wiz,The Way,0.285714286
7134458,Rampage,Rampart,0.285714286
2752323,Once Upon a Time in Mexico,Once Upon a Time in Anatolia,0.285714286
2553150,From Russia With Love,From Paris with Love,0.285714286
5295784,The Lake House,The Dark Horse,0.285714286
6029348,Shaun the Sheep,Shaun the Sheep Movie,0.285714286
6755832,The Village,The Villainess,0.285714286
5643378,The Good Night,The Good Lie,0.285714286
2378571,Once Upon a Time in Queens,Once Upon a Time in Anatolia,0.285714286
4236132,Graduation Day,Graduation,0.285714286
5655547,The Man,The Bay,0.285714286
1533933,The Last Waltz,The Last Word,0.285714286
3349130,Honey,Hockney,0.285714286
1535571,The Last Waltz,The Last Suit,0.285714286
1816706,Shutter,Butter,0.285714286
4514238,The Dead Zone,The Dead Lands,0.285714286
5653718,The Man,The Nun,0.285714286
5094607,Titanic,Satanic,0.285714286
8207242,The Collector,The Connection,0.285714286
5654728,The Man,The Day,0.285714286
2072440,Julia,Julieta,0.285714286
5654153,The Man,The Way,0.285714286
6360692,The Family Man,The Tall Man,0.285714286
8231779,Wuthering Heights,Wuthering Heights (2012),0.291666667
2684979,Finding Nemo,Finding Nemo (3D),0.294117647
6347861,The Burning Plain,The Wedding Plan,0.294117647
6205870,Against the Ropes,Against the Sun,0.294117647
6653842,A Perfect Getaway,A Perfect Day,0.294117647
7415307,The Mongol King,The Monkey King 3,0.294117647
